64,0.045,3.913
64,0.043,3.907
64,0.044,3.912
64,0.044,3.912
64,0.04,2.239
64,0.041,2.606
64,0.04,2.61
64,0.039,2.232
64,0.047,3.613
64,0.044,3.911
64,0.044,3.915
64,0.044,3.911
64,0.045,3.908
64,0.043,3.912
64,0.044,3.924
64,0.044,3.907
64,0.044,3.914
64,0.04,2.232
64,0.041,2.935
64,0.043,3.609
64,0.043,3.91
64,0.044,3.909
64,0.043,3.904
64,0.043,3.908
64,0.044,3.911
64,0.044,3.916
64,0.044,3.918
64,0.043,3.913
64,0.044,3.917
64,0.043,3.909
64,0.04,2.235
64,0.039,2.233
64,0.039,2.233
64,0.042,3.126
64,0.043,3.355
64,0.043,3.615
64,0.043,3.993
64,0.044,3.908
64,0.044,3.94
64,0.044,3.908
64,0.044,3.913
64,0.043,3.91
64,0.045,3.916
64,0.039,2.235
64,0.041,2.608
64,0.047,2.609
64,0.04,2.233
64,0.041,2.935
64,0.041,3.126
64,0.043,3.366
128,0.101,32.783001
128,0.1,33.000999
128,0.1,32.806
128,0.101,33.18
128,0.1,32.776001
128,0.1,33.609001
128,0.1,32.778
128,0.096,20.819
128,0.099,32.808998
128,0.101,32.618
128,0.098,26.219999
128,0.099,30.247
128,0.099,33
128,0.1,32.771
128,0.1,31.093
128,0.098,26.221001
128,0.1,30.261
128,0.1,33.078999
128,0.1,32.772999
128,0.101,32.820999
128,0.1,32.902
128,0.1,32.778
128,0.095,18.99
128,0.099,32.862
128,0.101,32.963001
128,0.101,32.793999
128,0.1,32.796001
128,0.096,21.333
128,0.1,32.775002
128,0.096,18.712
128,0.094,18.826
128,0.101,32.792
128,0.1,32.779999
128,0.1,32.866001
128,0.099,33.035
128,0.1,32.768002
128,0.101,33.014999
128,0.095,18.702999
128,0.095,18.750999
128,0.101,33.449001
128,0.101,33.013
128,0.099,32.790001
128,0.1,30.417999
128,0.096,21.879999
128,0.1,30.315001
128,0.1,26.513
128,0.097,23.113001
128,0.099,28.079
128,0.101,32.522999
128,0.098,26.195999
192,0.26,111.290001
192,0.263,78.190002
192,0.26,98.748001
192,0.264,63.222
192,0.259,105.811996
192,0.262,88.842003
192,0.263,63.533001
192,0.261,111.085999
192,0.261,89.259003
192,0.261,94.950996
192,0.262,83.033997
192,0.26,111.084
192,0.26,111.133003
192,0.264,63.263
192,0.26,102.332001
192,0.26,111.25
192,0.264,63.284
192,0.26,102.286003
192,0.26,111.399002
192,0.263,111.485001
192,0.26,111.181
192,0.261,111.158997
192,0.261,111.043999
192,0.26,111.027
192,0.26,111.693001
192,0.26,89.416
192,0.26,80.396004
192,0.258,76.541
192,0.262,111.153999
192,0.261,91.504997
192,0.261,81.064003
192,0.261,76.150002
192,0.262,75.592003
192,0.26,95.280998
192,0.263,102.278999
192,0.26,87.543999
192,0.254,78.456001
192,0.261,85.901001
192,0.262,88.776001
192,0.259,111.053001
192,0.26,102.304001
192,0.259,92.679001
192,0.259,82.851997
192,0.263,84.869003
192,0.261,93.247002
192,0.261,111.042
192,0.259,111.084
192,0.264,88.953003
192,0.26,89.213997
192,0.261,111.150002
256,0.559,246.460007
256,0.576,223.291
256,0.561,191.098999
